PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,2,"Perez, Mrs. Amy",female,21.170307440513938,1,1,13036,98.58462835928259,,S
2,1,2,"Cummings, Miss. Olivia",male,59.964322917711854,0,1,SOTON/O 962322,19.590832639153614,,S
3,1,1,"Williams, Master. Elizabeth",male,53.31950712719454,0,1,W.E.P. 936619,293.4344343183351,,S
4,0,3,"Evans, Mr. Elizabeth",female,40.23309607742209,1,0,SOTON/O 814869,58.65594396248176,,S
5,0,3,"Green, Miss. Benjamin",male,25.196936969620424,2,0,68328,52.43086195188956,,S
6,0,3,"Mcdonald, Miss. Danielle",female,46.80881525371612,0,0,71036,8.235275331162386,,S
7,0,1,"Le, Master. Joshua",female,14.131565053293581,1,0,CA 560522,47.06282778477469,,C
8,1,3,"Baker, Dr. Melissa",male,45.07205441341963,0,0,56880,8.428325678749275,C71,S
9,0,3,"James, Master. Angela",female,42.99162952388061,1,1,PC 256220,76.5322970045528,,S
10,1,3,"Mclean, Mr. Larry",male,27.88115971491007,0,0,STON/O 734929,7.448346731863166,,S
11,0,3,"Hawkins, Master. Hailey",male,45.948608386910806,1,3,46041,22.223243385498474,,C
12,1,3,"Williams, Mr. Clifford",male,23.7389041875061,1,0,67548,32.38315082418788,,S
13,1,3,"Porter, Master. Samantha",male,12.288801626624728,0,0,39737,81.78744236069126,,C
14,0,2,"Evans, Dr. Kathy",male,43.6915101819989,0,0,SC/Paris 903819,50.08701180428494,,S
15,0,3,"Taylor, Mr. Lisa",male,28.806598992047572,1,0,90037,68.90983392960753,,S
16,0,1,"Gonzales, Mr. Terri",female,38.42492844618135,0,0,SC/Paris 130397,13.98398289816461,,C
17,0,1,"Dean, Miss. Tyler",female,55.49241228183169,2,0,STON/O 639745,13.542129352296833,,Q
18,0,2,"Sanford, Master. Gina",female,19.888442986451842,0,0,28611,23.951809882403296,E82,C
19,0,1,"Lawson, Miss. Richard",male,27.992686932240346,2,0,60616,0.9428780255732485,,S
20,0,2,"Huynh, Mrs. John",male,51.974883064088,1,0,SC/Paris 728551,88.80537036432042,,C
21,0,1,"Bowman, Mr. Robert",male,39.36224423197397,0,0,47169,23.099285235338716,,S
22,0,1,"Anderson, Dr. Michael",male,20.20304158113565,0,0,20710,3.4971824670068505,,Q
23,0,3,"Castaneda, Dr. Ana",male,16.629752150447302,0,0,A/5 794727,102.87048776637569,,S
24,0,1,"Bailey, Mr. Michael",female,22.60687103855316,1,0,93622,171.83045610745148,,C
25,0,3,"Maddox, Miss. Brian",male,19.6621941327597,1,1,54246,52.005548377689195,A34,S
26,1,1,"Thomas, Mr. Tyler",male,33.32287367285343,0,0,25676,22.0485220923788,,S
27,0,3,"Martinez, Mrs. Kristy",male,31.098083100766395,0,1,CA 123303,26.70104383371999,,C
28,0,3,"Hess, Mrs. Sandra",male,33.90932855985492,0,0,STON/O 469972,14.796174557700773,,S
29,0,3,"Wells, Mrs. Michael",male,18.228620778163048,0,0,65750,62.114090797175145,,S
30,0,3,"Hernandez, Mr. Laura",male,29.00832529464643,0,0,SC/Paris 736964,22.00842389666145,,Q
31,0,1,"Moses, Master. Kimberly",female,1.2202031646129683,1,0,SC/Paris 402761,1.6511551567899974,,Q
32,0,3,"Schmitt, Miss. Maria",male,32.03008844305913,1,0,PC 140636,2.3630811558478553,,S
33,0,3,"Richardson, Dr. Mikayla",female,46.45616902938211,1,0,STON/O 443076,47.693083633878565,,S
34,1,3,"Fowler, Master. Michelle",male,10.053557269153476,1,0,SC/Paris 774440,17.15156552947324,,Q
35,1,3,"Brown, Mr. Jacob",male,36.767995229064454,1,0,20674,9.231709741668856,,S
36,1,2,"Smith, Miss. Luis",female,21.445799075352113,0,1,65228,40.18886112538976,,C
37,0,3,"Sanchez, Mr. Bryan",male,41.23501615170717,1,0,SC/Paris 580809,16.316744281783983,,S
